source,price,title,details,location,url,beds,sqft
craigslist,3335.0,Lease Transfer - Elevator Building,"$3,335

                        Midtown East",Midtown East,https://newyork.craigslist.org/mnh/apa/d/new-york-lease-transfer-elevator/7908120889.html,,
craigslist,3600.0,True 1 bedrooms!..No amenity fee! (Gross rent advertised ),"$3,600

                        financial district",financial district,https://newyork.craigslist.org/mnh/apa/d/new-york-true-bedroomsno-amenity-fee/7908115767.html,,
craigslist,3800.0,Seaport! Bright and Spacious!,"$3,800

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-seaport-bright-and-spacious/7908115348.html,,
craigslist,3100.0,1 month free! Corner unit with New appliances,"$3,100

                        financial district",financial district,https://newyork.craigslist.org/mnh/apa/d/new-york-month-free-corner-unit-with/7908114972.html,,
craigslist,3000.0,2 Months free!! Lots of natural light! large loft like Unit,"$3,000

                        financial district",financial district,https://newyork.craigslist.org/mnh/apa/d/new-york-months-free-lots-of-natural/7908114496.html,,
craigslist,3300.0,Spacious Midtown West Studio - Steps to subways & Hudson Yards,"$3,300

                        Midtown West",Midtown West,https://newyork.craigslist.org/mnh/apa/d/new-york-spacious-midtown-west-studio/7908093236.html,,
craigslist,3392.0,Elevated Midtown Living,"$3,392

                        Midtown",Midtown,https://newyork.craigslist.org/mnh/apa/d/new-york-elevated-midtown-living/7908093113.html,,
craigslist,3150.0,Studio Rental in the Financial District,"$3,150

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/brooklyn-studio-rental-in-the-financial/7908043605.html,,
craigslist,3580.0,"____24/7 doorman______steps to 2,3,4,5 trains","$3,580

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-24-doormansteps-to-2345-trains/7908041593.html,,
craigslist,6800.0,Prime Tribeca_____Washer and dryer_____25/7 doorman______,"$6,800

                        TriBeCa",TriBeCa,https://newyork.craigslist.org/mnh/apa/d/new-york-prime-tribecawasher-and/7908041595.html,,
craigslist,6800.0,Washer and Dryer unit___24/7 doorman_______water views,"$6,800

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-washer-and-dryer-unit24/7908039498.html,,
craigslist,9500.0,4bedroom!! Bedroom __one of a kind layout,"$9,500

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-4bedroom-bedroom-one-of-kind/7908029806.html,,
craigslist,3800.0,Bright Harlem Brownstone Apt | Updated Kitchen | No Fee,"$3,800

                        Harlem / Morningside",Harlem / Morningside,https://newyork.craigslist.org/mnh/apa/d/new-york-bright-harlem-brownstone-apt/7908028874.html,,
craigslist,3200.0,44th floor! _Naturall light! New appliances,"$3,200

                        Midtown West",Midtown West,https://newyork.craigslist.org/mnh/apa/d/new-york-44th-floor-naturall-light-new/7908028061.html,,
craigslist,2837.0,"HUGE (212 sq ft), beautiful, ☀️ sunlit bedroom","$2,837

                        Midtown",Midtown,https://newyork.craigslist.org/mnh/apa/d/new-york-huge-212-sq-ft-beautiful/7908008906.html,,
craigslist,16250.0,"NO FEE! MINT Gramercy Bright 5BR/5BA, Full Luxe, Doorman, VIDEO!","$16,250

                        Union Square",Union Square,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-mint-gramercy-bright/7908008402.html,,
craigslist,8500.0,"NO FEE West Vil Sprawling King Sized 1br, full luxe, doorman, VIDEO!","$8,500

                        West Village",West Village,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-west-vil-sprawling-king/7908008249.html,,
craigslist,5650.0,"NO FEE Gorgeous Chelsea Corner 1br, roofdeck, pool, VIDEO!","$5,650

                        Chelsea",Chelsea,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-gorgeous-chelsea-corner/7908008001.html,,
craigslist,3375.0,Studio with separate kitchen,"$3,375

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-studio-with-separate-kitchen/7908001182.html,,
craigslist,1100.0,"Roommate $1,100 monthly","$1,100

                        Harlem / Morningside",Harlem / Morningside,https://newyork.craigslist.org/mnh/apa/d/new-york-roommate-1100-monthly/7907969166.html,,
craigslist,3850.0,Roosevelt Island - Lease Transfer - Doorman/Amenity Building,"$3,850

                        Roosevelt Island",Roosevelt Island,https://newyork.craigslist.org/mnh/apa/d/new-york-roosevelt-island-lease/7907975887.html,,
craigslist,1999.0,Sunny studio! No stairs! Steps from 1 train!,"$1,999

                        Harlem / Morningside",Harlem / Morningside,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-studio-no-stairs-steps/7907973143.html,,
craigslist,1950.0,Beautiful sunny studio! High ceilings! Amazing location,"$1,950

                        Harlem / Morningside",Harlem / Morningside,https://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-sunny-studio-high/7907973043.html,,
craigslist,2699.0,Beautiful two bedroom! No stairs! Steps from Columbia university,"$2,699

                        Harlem / Morningside",Harlem / Morningside,https://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-two-bedroom-no/7907972964.html,,
craigslist,3895.0,🌆 NO FEE — Renovated East Village 1BR w/ W/D + Garden Access,"$3,895

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-renovated-east-village/7907943169.html,,
craigslist,200.0,1br - Sunset River Views in a Luxury Lincoln Center Residence,"$200

                        Upper West Side",Upper West Side,https://newyork.craigslist.org/mnh/apa/d/new-york-1br-sunset-river-views-in/7907938091.html,,
